link_ID;length;width;link_class
4377906289869500514;57;3;1
4377906284594800514;247;9;1
4377906289425800514;194;3;1
4377906284525800514;839;3;1
4377906284422600514;55;12;1
4377906282532600514;29;9;1
4377906281741600514;99;9;1
4377906288593600514;62;12;1
4377906284514600514;59;9;1
4377906284959500514;22;9;1
4377906287169500514;54;12;1
4377906282969500514;47;12;1
3377906283328510514;36;15;1
4377906283815800514;20;9;1
4377906282815800514;43;9;1
4377906285041600514;30;12;1
4377906282141600514;56;12;1
4377906282541600514;270;12;1
4377906283422600514;19;12;1
4377906288893600514;85;15;1
4377906282763800514;53;12;1
3377906287674510514;44;12;1
3377906287934510514;35;9;1
9377906285615510514;18;3;1
9377906283125510514;108;9;1
4377906280815800514;192;12;1
4377906280784800514;254;9;1
9377906285566510514;143;9;1
9377906283776510514;71;9;1
4377906281763800514;26;12;1
4377906289863800514;78;12;1
4377906285343600514;73;12;1
4377906284653600514;127;3;1
4377906287063800514;99;9;1
4377906287869500514;64;12;1
4377906286041600514;27;12;1
4377906288041600514;120;9;1
4377906281141600514;119;9;1
4377906289141600514;21;15;1
3377906284395510514;43;12;1
4377906283759500514;50;9;1
4377906283959500514;66;12;1
3377906286918510514;34;12;1
3377906284028510514;203;9;1
3377906288228510514;26;12;1
4377906280334600514;178;3;1
4377906285681600514;30;9;1
4377906281784800514;83;9;1
4377906288425800514;75;12;1
4377906280763800514;86;12;1
4377906280863800514;70;12;1
4377906287863800514;73;3;1
3377906281774510514;64;3;1
4377906288738500514;50;9;1
4377906280329500514;136;15;1
4377906285525800514;43;12;1
4377906286525800514;22;12;1
4377906280241600514;128;9;1
4377906281241600514;52;15;1
4377906280344800514;19;9;1
4377906288234600514;180;6;1
4377906285334600514;60;15;1
4377906289063800514;126;9;1
4377906287663800514;91;12;1
4377906289663800514;53;12;1
3377906289228510514;32;12;1
4377906286169500514;63;9;1
4377906282769500514;57;12;1
4377906288869500514;86;15;1
4377906280969500514;23;12;1
4377906282759500514;39;12;1
4377906285759500514;137;9;1
4377906281959500514;60;3;1
4377906287959500514;117;9;1
3377906289434510514;8;12;1
4377906287425800514;115;12;1
4377906289525800514;19;9;1
4377906280141600514;57;9;1
4377906286141600514;12;12;1
4377906280234600514;15;6;1
4377906288959500514;65;9;1
4377906283769500514;15;12;1
3377906280028510514;48;3;1
3377906285934510514;46;9;1
3377906289044510514;36;12;1
9377906284555510514;14;12;1
9377906286566510514;142;9;1
9377906289175510514;29;9;1
4377906287194800514;126;9;1
9377906282776510514;9;9;1
4377906281041600514;59;12;1
4377906285141600514;15;12;1
3377906282418510514;35;9;1
3377906282328510514;27;12;1
9377906281555510514;38;12;1
9377906288175510514;66;9;1
4377906282653600514;130;6;1
4377906280913600514;38;9;1
4377906287243600514;38;12;1
4377906289243600514;14;9;1
4377906283141600514;31;12;1
4377906287141600514;46;9;1
4377906285032600514;258;12;1
4377906288063800514;243;9;1
4377906280163800514;223;9;1
4377906288663800514;20;12;1
3377906281518510514;22;9;1
4377906284759500514;10;9;1
4377906282959500514;29;12;1
4377906284769500514;11;12;1
3377906280395510514;59;12;1
4377906283525800514;835;6;1
4377906288194800514;87;9;1
4377906285594800514;23;9;1
4377906289813600514;14;9;1
4377906284141600514;66;12;1
4377906289244800514;66;12;1
4377906281969500514;5;12;1
3377906285434510514;9;12;1
3377906289674510514;39;9;1
4377906284838500514;107;3;1
3377906287886510514;259;9;1
9377906286615510514;46;3;1
4377906286843600514;192;6;1
4377906288243600514;37;12;1
4377906286343600514;102;12;1
4377906286681600514;7;12;1
4377906288421600514;128;9;1
4377906289041600514;208;9;1
4377906286032600514;257;12;1
4377906281234600514;16;3;1
4377906286334600514;33;15;1
